epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.06459323,0.06651162,0.012586,0.010480
2,0.06425005,0.06654058,0.014263,0.018658
3,0.06415584,0.06650527,0.018695,0.025166
4,0.06411542,0.06644289,0.022721,0.024620
5,0.06411129,0.06644228,0.026489,0.025551
6,0.06408987,0.06644251,0.027431,0.025122
7,0.06407418,0.06643123,0.025668,0.026149
8,0.06405582,0.06642828,0.032937,0.025095
9,0.06415628,0.06644713,0.033531,0.022904
10,0.06404819,0.06649831,0.038483,0.026013
11,0.06399450,0.06656256,0.031378,0.021193
12,0.06390027,0.06652012,0.037737,0.023119
13,0.06380701,0.06649919,0.032261,0.022949
14,0.06369172,0.06658387,0.033549,0.024071
15,0.06354550,0.06665936,0.034339,0.024625
