epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.06558496,0.06441946,0.016881,0.015667
2,0.06401809,0.06495651,0.019151,0.019034
3,0.06377245,0.06454390,0.024994,0.021810
4,0.06368589,0.06453372,0.024200,0.018913
5,0.06358004,0.06437003,0.011163,0.019909
6,0.06351733,0.06442089,0.027623,0.024894
7,0.06341606,0.06449490,0.017536,0.023962
8,0.06334607,0.06451022,0.010138,0.026946
9,0.06332510,0.06440672,0.018354,0.024138
10,0.06328000,0.06437843,0.023850,0.019499
11,0.06314999,0.06446268,0.021515,0.019833
