epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.06311823,0.06373072,0.005315,0.004271
2,0.06202273,0.06349222,0.006980,0.004613
3,0.06190808,0.06363488,0.006100,0.002903
4,0.06194702,0.06349869,0.012177,0.011202
5,0.06183499,0.06344945,0.018469,0.019251
6,0.06184330,0.06355058,0.006481,0.003461
7,0.06193830,0.06342501,0.022762,0.016115
8,0.06181429,0.06343148,0.023197,0.017603
9,0.06176036,0.06347273,0.022371,0.016086
10,0.06168616,0.06352736,0.020778,0.013951
11,0.06162898,0.06349764,0.018805,0.014606
12,0.06151292,0.06363121,0.011919,0.013979
13,0.06143175,0.06419959,0.016920,0.015547
