epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.06522805,0.06660507,0.011198,0.021183
2,0.06444596,0.06649281,0.013863,0.019202
3,0.06424670,0.06655053,0.008993,0.008211
4,0.06416806,0.06650435,0.012345,0.015997
5,0.06412333,0.06648762,0.009182,0.010690
6,0.06406201,0.06653698,0.022955,0.011734
7,0.06398714,0.06651443,0.007222,0.005584
8,0.06389432,0.06671557,0.019164,0.016541
9,0.06377268,0.06718148,0.012199,0.008791
10,0.06362318,0.06706758,0.012321,0.014748
11,0.06344501,0.06778142,0.010187,0.013988
