epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.08266964,0.07504762,0.066654,0.063269
2,0.08052954,0.07680506,0.023549,0.018938
3,0.07579852,0.07889075,0.006752,0.003093
4,0.07099500,0.07890635,0.009087,-0.000129
5,0.06803613,0.07867291,0.037503,0.017707
6,0.06534561,0.07783596,0.077827,0.058349
7,0.06273249,0.07847056,0.059677,0.031675
8,0.05990791,0.08143180,0.017080,-0.013152
9,0.05698249,0.08090069,0.043925,0.018839
10,0.05399054,0.08169897,0.035712,0.014949
11,0.05099229,0.08567785,0.026025,0.004528
