epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.06308869,0.06387175,0.004518,0.003401
2,0.06213644,0.06345524,0.004537,0.006962
3,0.06190150,0.06345842,0.007977,0.006676
4,0.06193463,0.06447297,0.023458,0.019702
5,0.06174590,0.06344285,0.016762,0.020235
6,0.06174414,0.06356309,0.004763,0.003633
7,0.06181504,0.06422759,0.025489,0.018654
8,0.06181315,0.06369307,0.020722,0.010876
9,0.06176602,0.06345535,0.023466,0.012077
10,0.06168129,0.06358014,0.023945,0.016966
11,0.06162885,0.06356696,0.029668,0.024613
12,0.06157818,0.06364264,0.027050,0.023078
13,0.06143045,0.06364399,0.026832,0.019163
14,0.06116682,0.06394174,0.024253,0.017451
15,0.06075560,0.06442066,0.023616,0.018049
16,0.06021227,0.06512002,0.020675,0.016140
