epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37961991,0.06401190,0.009866,0.013129
2,0.37875009,0.06397513,0.020146,0.025068
3,0.37859764,0.06395900,0.028058,0.029436
4,0.37846810,0.06417876,0.023537,0.024369
5,0.37827789,0.06395030,0.034244,0.035870
6,0.37809291,0.06412571,0.034326,0.033115
7,0.37791699,0.06404061,0.036721,0.034306
8,0.37767392,0.06426019,0.033050,0.030303
9,0.37734751,0.06421294,0.036533,0.034057
10,0.37689578,0.06431891,0.033455,0.028123
11,0.37648639,0.06433316,0.035817,0.032173
12,0.37596885,0.06458012,0.031920,0.029563
