epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37992631,0.06981967,0.015643,0.017985
2,0.37746728,0.07024495,0.019432,0.019219
3,0.37496566,0.07054832,0.014056,0.016124
4,0.37281854,0.07094074,0.012024,0.016014
5,0.37082996,0.07007723,0.014887,0.015905
6,0.36879933,0.07023419,0.011808,0.018904
7,0.36692649,0.07018451,0.020266,0.021696
8,0.36523530,0.07023179,0.024803,0.021182
9,0.36352677,0.07045123,0.017689,0.022135
10,0.36195429,0.07088260,0.012840,0.017598
11,0.36042867,0.07066984,0.011608,0.019367
12,0.35891368,0.07123853,0.009141,0.016553
13,0.35747927,0.07152261,0.015332,0.020577
