epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37914287,0.06961113,0.003606,0.012400
2,0.37860005,0.06973725,0.013451,0.011951
3,0.37796528,0.06977000,0.015770,0.020961
4,0.37686517,0.06999112,0.015017,0.021198
5,0.37441869,0.07030400,0.011392,0.018284
6,0.37130819,0.07008479,0.009555,0.025402
7,0.36864515,0.07040749,0.011243,0.021957
8,0.36595126,0.07019487,0.020374,0.029433
9,0.36364561,0.07044005,0.019367,0.025792
10,0.36129076,0.07027521,0.015485,0.026223
11,0.35929150,0.07052783,0.011577,0.022503
12,0.35752797,0.07102900,0.012200,0.023915
13,0.35584811,0.07110510,0.012291,0.023741
