epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37967438,0.06421928,0.011806,0.005943
2,0.37725260,0.06406465,0.020980,0.015387
3,0.37676978,0.06450504,0.018716,0.014333
4,0.37613627,0.06434469,0.018546,0.014859
5,0.37548606,0.06434313,0.022571,0.019235
6,0.37448054,0.06490609,0.022227,0.016222
7,0.37299804,0.06532568,0.024733,0.022014
8,0.37094071,0.06648757,0.019490,0.012832
9,0.36812387,0.06720808,0.018889,0.018510
10,0.36462063,0.06770650,0.020630,0.018303
11,0.35967853,0.07074043,0.021766,0.020312
12,0.35471355,0.07080882,0.024243,0.021513
