epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37956567,0.07014422,0.009077,0.016211
2,0.37746733,0.07037685,0.013414,0.013901
3,0.37546622,0.07024585,0.008430,0.010227
4,0.37316931,0.07024626,0.016783,0.014874
5,0.37111346,0.07029208,0.016372,0.020269
6,0.36898650,0.06978835,0.023870,0.019914
7,0.36699372,0.07049331,0.016669,0.026148
8,0.36533484,0.06999113,0.025749,0.029782
9,0.36358514,0.07007564,0.013782,0.024571
10,0.36208826,0.07063517,0.022690,0.026175
11,0.36062961,0.07051786,0.020780,0.028798
12,0.35925120,0.07018134,0.015581,0.025686
13,0.35799687,0.07037495,0.020745,0.026828
