epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37912997,0.06960726,0.000202,0.005486
2,0.37861477,0.06964901,0.008071,0.013039
3,0.37813081,0.06965008,0.012266,0.021095
4,0.37723793,0.06994732,0.009475,0.016632
5,0.37555126,0.07017797,0.015110,0.024052
6,0.37292603,0.07041560,0.016210,0.026294
7,0.37022619,0.07018052,0.017974,0.024708
8,0.36764406,0.07056142,0.018657,0.019842
9,0.36519255,0.07052934,0.011069,0.019960
10,0.36290768,0.07109923,0.004185,0.015157
11,0.36081415,0.07083367,0.007797,0.017379
12,0.35908630,0.07142009,0.005369,0.015270
13,0.35739350,0.07124506,0.012539,0.018968
