epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.38010125,0.06994217,0.021936,0.018771
2,0.37712255,0.07003761,0.021404,0.016596
3,0.37433225,0.06964118,0.008073,0.011777
4,0.37213087,0.06978644,0.022188,0.025868
5,0.37009073,0.07011047,0.016051,0.020496
6,0.36814999,0.07000201,0.015961,0.025995
7,0.36606890,0.07020653,0.017290,0.020532
8,0.36422995,0.07004769,0.014886,0.020510
9,0.36230643,0.07056941,0.024091,0.021366
10,0.36056077,0.07056823,0.031534,0.022508
11,0.35902879,0.07043240,0.019558,0.018325
12,0.35759778,0.07027701,0.016739,0.022570
13,0.35617386,0.07134404,0.031259,0.025628
14,0.35485261,0.07125705,0.023770,0.022278
15,0.35394454,0.07099741,0.028022,0.023381
