epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.40698736,0.06390391,0.032104,0.033558
2,0.37827896,0.06409375,0.031337,0.041856
3,0.37448215,0.06523809,0.024232,0.038798
4,0.37091773,0.06675143,0.028925,0.039298
5,0.36651466,0.06516987,0.026271,0.038543
6,0.36123722,0.06905938,0.040183,0.051377
7,0.35700369,0.07119725,0.027226,0.036266
8,0.35131132,0.07016603,0.027464,0.037849
9,0.34459927,0.07355816,0.025451,0.029586
10,0.33828971,0.07667103,0.018717,0.027362
11,0.33217842,0.08326578,0.028091,0.034345
