epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37979526,0.06420816,0.009729,0.009258
2,0.37751088,0.06373662,0.022677,0.020162
3,0.37679541,0.06393510,0.015688,0.017032
4,0.37598859,0.06512274,0.016181,0.009180
5,0.37514295,0.06462999,0.022740,0.024678
6,0.37389852,0.06516879,0.024766,0.022127
7,0.37175847,0.06581430,0.016417,0.018457
8,0.36844586,0.06696205,0.014474,0.015066
9,0.36403388,0.06870921,0.015312,0.018142
10,0.35849531,0.07144915,0.013809,0.015751
11,0.35218697,0.07203136,0.010051,0.013732
