epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.38070065,0.06402783,0.018189,0.014627
2,0.37883580,0.06399616,0.027617,0.029703
3,0.37848767,0.06406062,0.018468,0.018690
4,0.37819308,0.06435895,0.026207,0.028246
5,0.37778146,0.06405367,0.024536,0.029397
6,0.37735701,0.06418569,0.028359,0.031387
7,0.37688703,0.06426575,0.030551,0.031259
8,0.37617597,0.06436431,0.026877,0.027604
9,0.37554447,0.06453871,0.024029,0.027915
10,0.37469279,0.06462569,0.025978,0.028571
11,0.37385740,0.06466412,0.021675,0.027125
12,0.37290696,0.06516087,0.023090,0.027630
